HolderAddress,Balance in DRC
0xc0712a6e76a73ad55f7e2a7fd7199e76ddf59742,20996
0xea0d07bd7f1198e84342c3d87924f55fa66b9e37,20713
0x237a5fb2fe2ab21a82dbf57f7cac9b6b6705cc02,20475
0x275f5e2c81ed46745012c2f6056682c563ad33dc,20330
0x52113b7093ee314f6e54584af30f039fd760062b,20301
0x82a9c91d283c75f0ce4994dc1ea471c53220e3a0,20131
0x649a1f5587bac188a0cf39085b9d1e537d361910,20000
0x182df0a5690df5e90b9107196d23da69ac0cedac,20000
0x8408a33e7281d7481da15e9dd1ed39f426cbbf07,20000
0xc3d9fe15680e80f54e6156b3ef551fd92d5d54cc,20000
0x00e56d0929070567b7d885ba90d79427f2882943,19483
0x8491f521a2a844728971d73a8125304105aecb21,19162
0x63eba537af3c4c2ca4f9cd7fe216cbaad54173c9,19052
0xf2adc49a86c78d7413192a6b5495f2a12b91c7fc,18734
0xacdc64253367e3da7a7297c1072278889b4be2be,18059
0x71c4eb63fb5605980cdd51784468e6625d1b066a,17392
0xdb81ba9a359679e15d53e471aafd278203b1d051,17375
0x4cc627fb3ca4c3c3fd2edcdf59d1cf6682365721,17266
0xfb5932d2da308cd4fec332fe2cdaee460efe2ecd,16914
0xbdba0618904358bb0d57d3a51accdb1b3ffeea63,16418
0x0be722795469468e04ce572eb77eb5882c94d6f5,16369
0xdfa484f1d2f2b21ab3ad7e1d9dfd83ea2848cdf7,16007
0xc2455d2b46dc07ab5a8c7aa06012f305613ab1a2,15659
0x81745b7339d5067e82b93ca6bbad125f214525d3,15502
0x7f6b844ba0f520b13e58f53ba870b4d2a8e5e5ec,15309
0xe4d7ba519f9cabfd53d26e6b6dd2a1247f6636e4,15125
0xb221ef6e917c0a4ab5a105739b4906b18a762b67,14888
0x4ff4a5d32b1121a68a49becbd385b70ffdb8fe12,14849
0x0bc07fd3fd24443c7276d045845aa52f966c93f5,14701
0xf2aa9890d66d3734a3e9faf7f2e0fd17487c586b,14583
0xf7d4b6734385fc89ed0209de38988e3156ab0ea4,14520
0xd9907cd11d99d21b431fc0a4ef513f3823142b0d,14498
0xab37945890d09c5def455c48ff16a8a54a070799,14317
0x3dacb5a2cf2226a79cf49ea9cdb48c988ba4b3cc,14000
0x6b5dc81740e418c72d8d912d5eed8fa5c9ac90b8,13965
0xc13e627950444dee50ec59070e39aec8083699fe,13910
0xa0058ce55abff7970d635371002de68420c4a674,13834
0x98de32699ac4cc4971d22a59ea4ff188aad2090b,13781
0x6b37a429bb72ff820c6605815e52d3b1bd4c5324,13677
0x68783867f64fe1d158b5bf2d24add831e7a396d0,13500
0xcedeb91bdd02a3fd27b6fb75c4312b0762cc2f3f,13407
0x2721685a3e17568be01ccf5c2e5096c90220b514,13371
0x9cdbdd4ddd3d0f5e16c02292d3fd02412fdf4f24,13311
0xc403396c423ac8853fb762edbd705c9e9463eb5f,13308
0x4188d6d3a476affd6781fd8d68d280e0d8ab774f,13232
0x7f609eb8ceb525b7a0653e887ceba8517766a3e2,13020
0xd9ebea3f9a061ccbc91553e465d914b56dd833ab,12879
0xeb577275b16df5977d0db3a2e57e9dfe34f99119,12760
0xeeb1818c6e1dfefb59c07d08129e2da908274ba0,12677
0x88be5855a3d352aa01e6c38e583e2710c5e787d4,12650
0xf33df4706306bb385aebd35e5d25cb8b79d33da4,12639
0x167d8b60f2bf32b045e61f598d21bf3cf6fea10b,12577
0xdf1ab4ece64a89a52da9edd37e0c22761b3acf14,12504
0x3b1c27c87a780fdb31b6c3f2bd04cf44341d7a91,12442
